Generator,eff_base_only,eff_with_incr
Kidston Pumped Storage Hydro 2,1.0,1.0
Kogan Gas,1.3236591821916572,0.28301886784665364
KPP_1,5.651491365777081,0.409000000010225
KSP1,1.0,1.0
Kurri Kurri 1,1.323659182272772,0.32933123670793724
Kurri Kurri 2,1.323659182272772,0.32933123670793724
LADBROK1,1.3236591826783446,0.30300000003345623
LADBROK2,1.3236591826783446,0.30300000003345623
LGAPWF1,1.0,1.0
LGAPWF2,1.0,1.0
LI111-1,1.0,1.0
LI112-2,1.0,1.0
LI113-3,1.0,1.0
LILYSF1,1.0,1.0
LIMOSF11,1.0,1.0
LIMOSF21,1.0,1.0
LK_ECHO,1.0,1.0
LKBONNY1,1.0,1.0
LKBONNY2,1.0,1.0
LKBONNY3,1.0,1.0
LM111-1,1.0,1.0
LNGS1,1.323659182272772,0.31299999999336325
LNGS2,1.323659182272772,0.31299999999336325
Lockhart Hybrid Facility - Solar,1.0,1.0
LONSDALE,1.0,0.45600000000608
LOYYB1,5.293988211463174,0.2883146932806171
LOYYB2,5.293988211463174,0.2883146932806171
LRSF1,1.0,1.0
LYA1,4.883247747311308,0.2959999999135492
LYA2,4.883247747668392,0.2959999999148612
LYA3,4.883247747311308,0.2959999999135492
LYA4,4.883247747311308,0.2959999999135492
MACARTH1,1.0,1.0
MacIntyre Wind Farm,1.0,1.0
MACKNTSH,1.0,1.0
MANSF2,1.0,1.0
MANSLR1,1.0,1.0
MAPS2PV1,1.0,1.0
MAPS3PV1,1.0,1.0
MARYRSF1,1.0,1.0
MBPS2PV1,1.0,1.0
MCKAY11,1.0,1.0
MCKAY12,1.0,1.0
MCKAY13,1.0,1.0
MCKAY14,1.0,1.0
MCKAY15,1.0,1.0
MCKAY16,1.0,1.0
MEADOWBK,1.0,1.0
MERCER01,1.0,1.0
METZSF1,1.0,1.0
MEWF1,1.0,1.0
MIDDLSF1,1.0,1.0
MINTARO,1.323659182272772,0.28300000007127407
MLWF1,1.0,1.0
MN1 Option 1,1.0,1.0
MN1_Augmentation 1,1.0,1.0
MN1_Augmentation 2,1.0,1.0
MN1_North_Augmentation 1,1.0,1.0
MOLNGSF1,1.0,1.0
MOORAWF1,1.0,1.0
MOREESF1,1.0,1.0
MORTLK11,1.3236591823283297,0.3229999999911359
MORTLK12,1.3236591823283297,0.3229999999911359
MOUSF1,1.0,1.0
MP1,6.250891965177679,0.39158456390045293
MP2,5.9083773369487655,0.39016764262630227
MPP_1,5.65149136577708,0.3910000000135764
MPP_2,5.65149136577708,0.3910000000135764
MRTLSWF1,1.0,1.0
MSTUART1,1.3236591821616561,0.3030000000063817
MSTUART2,1.3236591821616561,0.3030000000063817
MSTUART3,1.3236591823961399,0.30300000001866867
MTGELWF1,1.0,1.0
MTMILLAR,1.0,1.0
MURRAY01,1.0,1.0
MURRAY02,1.0,1.0
MURRAY03,1.0,1.0
MURRAY04,1.0,1.0
MURRAY05,1.0,1.0
MURRAY06,1.0,1.0
MURRAY07,1.0,1.0
MURRAY08,1.0,1.0
MURRAY09,1.0,1.0
MURRAY10,1.0,1.0
MURRAY11,1.0,1.0
MURRAY12,1.0,1.0
MURRAY13,1.0,1.0
MURRAY14,1.0,1.0
MUSSELR1,1.0,1.0
MUWAWF1,1.0,1.0
MUWAWF2,1.0,1.0
MWPS1PV1,1.0,1.0
MWPS2PV1,1.0,1.0
MWPS3PV1,1.0,1.0
MWPS4PV1,1.0,1.0
N0_CST_NSW,1.0,1.0
N0_SAT_NSW,1.0,1.0
N0_WH_NSW,1.0,1.0
N0_WM_NSW,1.0,1.0
N10_Augmentation 1,1.0,1.0
N10_Augmentation 2,1.0,1.0
N10_Augmentation 3,1.0,1.0
N10_Augmentation 4,1.0,1.0
N10_Augmentation 5,1.0,1.0
N10_WFL_Hunter Coast,1.0,1.0
N10_WFX_Hunter Coast,1.0,1.0
N11_Augmentation 1,1.0,1.0
N11_Augmentation 2,1.0,1.0
N11_Augmentation 3,1.0,1.0
N11_Augmentation 4,1.0,1.0
N11_Augmentation 5,1.0,1.0
N11_WFL_Illawarra Coast,1.0,1.0
N11_WFX_Illawarra Coast,1.0,1.0
N12_CST_Illawarra,1.0,1.0
N12_SAT_Illawarra,1.0,1.0
N12_WH_Illawarra,1.0,1.0
N12_WM_Illawarra,1.0,1.0
N1_Augmentation 1,1.0,1.0
N1_Augmentation 2,1.0,1.0
N1_Augmentation 3,1.0,1.0
N1_CST_North West NSW,1.0,1.0
N1_SAT_North West NSW,1.0,1.0
N1_WH_North West NSW,1.0,1.0
N1_WM_North West NSW,1.0,1.0
N2 Option 1,1.0,1.0
N2_Augmentation 1,1.0,1.0
N2_Augmentation 2,1.0,1.0
N2_Augmentation 3,1.0,1.0
N2_Augmentation 4,1.0,1.0
N2_Augmentation 5,1.0,1.0
N2_CST_New England,1.0,1.0
N2_SAT_New England,1.0,1.0
N2_WH_New England,1.0,1.0
N2_WM_New England,1.0,1.0
N3_Augmentation 1,1.0,1.0
N3_Augmentation 2,1.0,1.0
N3_Augmentation 3,1.0,1.0
N3_Augmentation 4,1.0,1.0
N3_Augmentation 5,1.0,1.0
N3_Augmentation 6,1.0,1.0
N3_CST_Central-West Orana,1.0,1.0
