class_id,class_name,collection_id,collection_description,property_id,property,property_description,filename,used
2,Generator,1,Generator objects,99,Max Load Penalty,Penalty for violation of [Max Load].,CAISOSA25 20250505,False
2,Generator,1,Generator objects,100,Commit,Number of units that should be committed,CAISOSA25 20250505,True
2,Generator,1,Generator objects,101,Fuel Mix Penalty,Penalty applied to violations of fuel mixing constraints,CAISOSA25 20250505,False
2,Generator,1,Generator objects,102,Ramp Up Point,Load point for use with multi-band Max Ramp Up constraints,CAISOSA25 20250505,False
2,Generator,1,Generator objects,103,Max Ramp Up,Maximum ramp up rate that applies at the given load point,CAISOSA25 20250505,True
2,Generator,1,Generator objects,106,Ramp Down Point,Load point for use with multi-band Max Ramp Down constraints,CAISOSA25 20250505,False
2,Generator,1,Generator objects,107,Max Ramp Down,Maximum ramp down rate that applies at the given load point,CAISOSA25 20250505,True
2,Generator,1,Generator objects,110,Rough Running Point,Start point of rough running range,CAISOSA25 20250505,False
2,Generator,1,Generator objects,111,Rough Running Range,Length of rough running range (must be paired with Rough Running Point),CAISOSA25 20250505,False
2,Generator,1,Generator objects,112,Regulation Point,Start point of regulation reserve range,CAISOSA25 20250505,False
2,Generator,1,Generator objects,113,Regulation Range,Length of regulation reserve range (must be paired with Regulation Point),CAISOSA25 20250505,False
2,Generator,1,Generator objects,114,Inertia Constant,Stored energy per unit of capacity,CAISOSA25 20250505,False
2,Generator,1,Generator objects,115,Aux Fixed,Fixed auxiliary usage per installed unit,CAISOSA25 20250505,False
2,Generator,1,Generator objects,116,Aux Base,Auxiliary use per unit committed,CAISOSA25 20250505,False
2,Generator,1,Generator objects,117,Aux Incr,Auxiliary use per unit of generation,CAISOSA25 20250505,False
2,Generator,1,Generator objects,118,Marginal Loss Factor,Transmission marginal loss factor (MLF or TLF),CAISOSA25 20250505,False
2,Generator,1,Generator objects,123,Pump Efficiency,Efficiency of pumping,CAISOSA25 20250505,True
2,Generator,1,Generator objects,124,Pump Load,Load drawn by a unit in pumping mode,CAISOSA25 20250505,True
2,Generator,1,Generator objects,125,Pump Load Factor,A multiplier (percentage) on the pump load,CAISOSA25 20250505,False
2,Generator,1,Generator objects,126,Pump Load Penalty,Penalty for violation of Pump Load.,CAISOSA25 20250505,False
2,Generator,1,Generator objects,127,Pump Units,Number of pump units,CAISOSA25 20250505,True
2,Generator,1,Generator objects,128,Min Pump Load,Minimum unit load while pumping,CAISOSA25 20250505,True
2,Generator,1,Generator objects,129,Must Pump Units,Number of pump units that must be running in pump mode,CAISOSA25 20250505,False
2,Generator,1,Generator objects,130,Max Units Pumping,Maximum number of units allowed to be running in pump mode.,CAISOSA25 20250505,False
2,Generator,1,Generator objects,134,Min Pump Time,Minimum number of hours a unit must be run in pump mode after being started,CAISOSA25 20250505,False
2,Generator,1,Generator objects,135,Min Pump Down Time,Minimum number of hours a unit must be off after being shut down from pump mode,CAISOSA25 20250505,False
2,Generator,1,Generator objects,136,Max Pump Up Time,Maximum number of hours a unit can be run in pump mode after being started,CAISOSA25 20250505,False
2,Generator,1,Generator objects,137,Generation Transition Time,Minimum time between operating in generation mode and pump mode,CAISOSA25 20250505,False
2,Generator,1,Generator objects,138,Pump Transition Time,Minimum time between operating in pump mode and generation mode,CAISOSA25 20250505,False
2,Generator,1,Generator objects,140,Sync Cond Units,Maximum number of synchronous condenser units,CAISOSA25 20250505,False
2,Generator,1,Generator objects,141,Must-run Sync Cond Units,Number of must-run synchronous condenser units,CAISOSA25 20250505,False
2,Generator,1,Generator objects,142,Sync Cond Load,Load drawn by a unit in synchronous condenser mode,CAISOSA25 20250505,False
2,Generator,1,Generator objects,145,Initial Generation,Generation at time zero,CAISOSA25 20250505,False
2,Generator,1,Generator objects,146,Initial Units Generating,Number of units generating at time zero,CAISOSA25 20250505,False
2,Generator,1,Generator objects,147,Initial Hours Up,Hours the unit has been up for at time zero,CAISOSA25 20250505,False
2,Generator,1,Generator objects,148,Initial Hours Down,Hours the unit has been down for at time zero,CAISOSA25 20250505,False
2,Generator,1,Generator objects,149,Initial Pumping,Generator pump load at time zero,CAISOSA25 20250505,False
